task,threshold,feature,delta
tool_buglocator,1,description_length,0.2643
tool_buglocator,1,reasoning_composite,0.3909
tool_buglocator,1,actionability,0.357
tool_buglocator,1,clarity,0.3365
tool_buglocator,1,technical_completeness,0.337
tool_buglocator,1,expected_observed_alignment,0.3398
tool_buglocator,1,ari,-0.3654
tool_buglocator,1,coleman_liau,-0.343
tool_buglocator,1,flesch,0.3448
tool_buglocator,1,complexity_reasoning,0.0788
tool_buglocator,1,complexity_description,0.1402
tool_buglocator,1,complexity_readability,-0.3984
tool_buglocator,1,reasoning_clarity,-0.1584
tool_buglocator,1,structure_actionability,-0.1708
tool_buglocator,1,readability_combo,-0.3564
tool_buglocator,1,ambiguity_reasoning,0.1357
tool_locus,1,description_length,0.2626
tool_locus,1,ari,-0.3267
tool_locus,1,reasoning_composite,0.3237
tool_locus,1,embedding_cluster_size,-0.188
tool_locus,1,coleman_liau,-0.3238
tool_locus,1,flesch,0.3058
tool_locus,1,txt_description_line_count,0.3525
tool_locus,1,expected_observed_alignment,0.2746
tool_locus,1,ambiguity_type_count,-0.2793
tool_locus,1,concept_network_concept_breadth,0.096
tool_locus,1,clarity,0.3068
tool_locus,1,complexity_reasoning,0.0415
tool_locus,1,complexity_description,0.0855
tool_locus,1,complexity_readability,-0.4074
tool_locus,1,reasoning_clarity,-0.1456
tool_locus,1,structure_actionability,-0.1369
tool_locus,1,readability_combo,-0.3224
tool_locus,1,ambiguity_reasoning,0.1393
tool_FlexFL,5,repair_difficulty,-0.2745
tool_FlexFL,5,txt_description_line_count,0.2412
tool_FlexFL,5,actionability,0.2505
tool_FlexFL,5,reasoning_composite,0.2379
tool_FlexFL,5,clarity,0.2298
tool_FlexFL,5,ari,-0.1793
tool_FlexFL,5,description_length,0.1777
tool_FlexFL,5,technical_completeness,0.2155
tool_FlexFL,5,coleman_liau,-0.1827
tool_FlexFL,5,txt_title_digit_density,0.2118
tool_FlexFL,5,expected_observed_alignment,0.2266
tool_FlexFL,5,flesch,0.1702
tool_FlexFL,5,txt_title_avg_sentence_len,0.2464
tool_FlexFL,5,ambiguity_type_count,-0.2372
tool_FlexFL,5,kincaid,-0.1333
tool_FlexFL,5,complexity_reasoning,0.0957
tool_FlexFL,5,complexity_description,0.1546
tool_FlexFL,5,complexity_readability,-0.2242
tool_FlexFL,5,reasoning_clarity,-0.1707
tool_FlexFL,5,structure_actionability,-0.1436
tool_FlexFL,5,readability_combo,-0.177
tool_FlexFL,5,ambiguity_reasoning,0.1617
tool_BRaIn,5,actionability,0.3807
tool_BRaIn,5,txt_description_line_count,0.3787
tool_BRaIn,5,repair_difficulty,-0.4124
tool_BRaIn,5,technical_completeness,0.3312
tool_BRaIn,5,clarity,0.3725
tool_BRaIn,5,txt_title_avg_sentence_len,0.3181
tool_BRaIn,5,txt_title_digit_density,0.3013
tool_BRaIn,5,expected_observed_alignment,0.3462
tool_BRaIn,5,reasoning_composite,0.4095
tool_BRaIn,5,description_length,0.31
tool_BRaIn,5,ambiguity_type_count,-0.3165
tool_BRaIn,5,ari,-0.3315
tool_BRaIn,5,complexity_reasoning,0.1416
tool_BRaIn,5,complexity_description,0.1516
tool_BRaIn,5,complexity_readability,-0.3697
tool_BRaIn,5,reasoning_clarity,-0.1345
tool_BRaIn,5,structure_actionability,-0.1654
tool_BRaIn,5,readability_combo,-0.3291
tool_BRaIn,5,ambiguity_reasoning,0.132
tool_boostnsift,5,expected_observed_alignment,0.3225
tool_boostnsift,5,ari,-0.4408
tool_boostnsift,5,coleman_liau,-0.4432
tool_boostnsift,5,flesch,0.4081
tool_boostnsift,5,technical_completeness,0.2962
tool_boostnsift,5,description_length,0.3035
tool_boostnsift,5,reasoning_composite,0.3964
tool_boostnsift,5,ambiguity_type_count,-0.3311
tool_boostnsift,5,txt_description_line_count,0.4214
tool_boostnsift,5,txt_title_avg_sentence_len,0.3943
tool_boostnsift,5,complexity_reasoning,0.1421
tool_boostnsift,5,complexity_description,0.1758
tool_boostnsift,5,complexity_readability,-0.3932
tool_boostnsift,5,reasoning_clarity,-0.2156
tool_boostnsift,5,structure_actionability,-0.1612
tool_boostnsift,5,readability_combo,-0.4302
tool_boostnsift,5,ambiguity_reasoning,0.2069
tool_buglocator,5,txt_description_line_count,0.4579
tool_buglocator,5,description_length,0.4064
tool_buglocator,5,reasoning_composite,0.4495
tool_buglocator,5,actionability,0.4374
tool_buglocator,5,clarity,0.4357
tool_buglocator,5,technical_completeness,0.4189
tool_buglocator,5,expected_observed_alignment,0.4078
tool_buglocator,5,ari,-0.3709
tool_buglocator,5,coleman_liau,-0.349
tool_buglocator,5,flesch,0.3248
tool_buglocator,5,complexity_reasoning,0.2095
tool_buglocator,5,complexity_description,0.2457
tool_buglocator,5,complexity_readability,-0.4313
tool_buglocator,5,reasoning_clarity,-0.2504
tool_buglocator,5,structure_actionability,-0.2483
tool_buglocator,5,readability_combo,-0.3473
tool_buglocator,5,ambiguity_reasoning,0.243
tool_locus,5,description_length,0.3537
tool_locus,5,ari,-0.2888
tool_locus,5,reasoning_composite,0.3959
tool_locus,5,embedding_cluster_size,-0.1951
tool_locus,5,coleman_liau,-0.286
tool_locus,5,flesch,0.2595
tool_locus,5,txt_description_line_count,0.4233
tool_locus,5,expected_observed_alignment,0.3673
tool_locus,5,ambiguity_type_count,-0.3512
tool_locus,5,concept_network_concept_breadth,0.188
tool_locus,5,clarity,0.3924
tool_locus,5,complexity_reasoning,0.1453
tool_locus,5,complexity_description,0.2129
tool_locus,5,complexity_readability,-0.4253
tool_locus,5,reasoning_clarity,-0.2092
tool_locus,5,structure_actionability,-0.2178
tool_locus,5,readability_combo,-0.2782
tool_locus,5,ambiguity_reasoning,0.1986
any_vs_none,1,reasoning_composite,0.3716
any_vs_none,1,actionability,0.3751
any_vs_none,1,txt_description_line_count,0.3489
any_vs_none,1,txt_title_digit_density,0.2886
any_vs_none,1,txt_title_avg_sentence_len,0.2867
any_vs_none,1,clarity,0.3622
any_vs_none,1,expected_observed_alignment,0.3457
any_vs_none,1,technical_completeness,0.354
any_vs_none,1,embedding_cluster_distance,0.2842
any_vs_none,1,description_length,0.2958
any_vs_none,1,num_versions,0.2245
any_vs_none,1,repair_difficulty,-0.4056
any_vs_none,1,coleman_liau,-0.3063
any_vs_none,1,ari,-0.3222
any_vs_none,1,ambiguity_type_count,-0.3449
any_vs_none,1,flesch,0.2836
any_vs_none,1,kincaid,-0.2469
any_vs_none,1,embedding_cluster_size,-0.2243
any_vs_none,1,complexity_reasoning,0.1835
any_vs_none,1,complexity_description,0.2335
any_vs_none,1,complexity_readability,-0.358
any_vs_none,1,reasoning_clarity,-0.2307
any_vs_none,1,structure_actionability,-0.2351
any_vs_none,1,readability_combo,-0.3023
any_vs_none,1,ambiguity_reasoning,0.2261
all_vs_notall,1,reasoning_composite,0.4326
all_vs_notall,1,actionability,0.4429
all_vs_notall,1,txt_description_line_count,0.504
all_vs_notall,1,txt_title_digit_density,0.4933
all_vs_notall,1,txt_title_avg_sentence_len,0.473
all_vs_notall,1,clarity,0.3901
all_vs_notall,1,expected_observed_alignment,0.3433
all_vs_notall,1,technical_completeness,0.3635
all_vs_notall,1,embedding_cluster_distance,0.3979
all_vs_notall,1,description_length,0.3395
all_vs_notall,1,num_versions,0.296
all_vs_notall,1,repair_difficulty,-0.5457
all_vs_notall,1,coleman_liau,-0.4528
all_vs_notall,1,ari,-0.4136
all_vs_notall,1,ambiguity_type_count,-0.2984
all_vs_notall,1,flesch,0.3806
all_vs_notall,1,kincaid,-0.3609
all_vs_notall,1,embedding_cluster_size,-0.2164
all_vs_notall,1,complexity_reasoning,-0.044
all_vs_notall,1,complexity_description,-0.0808
all_vs_notall,1,complexity_readability,-0.5233
all_vs_notall,1,reasoning_clarity,-0.064
all_vs_notall,1,structure_actionability,0.042
all_vs_notall,1,readability_combo,-0.4144
all_vs_notall,1,ambiguity_reasoning,0.0591
any_vs_none,5,reasoning_composite,0.2954
any_vs_none,5,actionability,0.2963
any_vs_none,5,txt_description_line_count,0.2733
any_vs_none,5,txt_title_digit_density,0.2192
any_vs_none,5,txt_title_avg_sentence_len,0.2674
any_vs_none,5,clarity,0.2895
any_vs_none,5,expected_observed_alignment,0.253
any_vs_none,5,technical_completeness,0.249
any_vs_none,5,embedding_cluster_distance,0.2792
any_vs_none,5,description_length,0.2156
any_vs_none,5,num_versions,0.149
any_vs_none,5,repair_difficulty,-0.3314
any_vs_none,5,coleman_liau,-0.227
any_vs_none,5,ari,-0.2242
any_vs_none,5,ambiguity_type_count,-0.2865
any_vs_none,5,flesch,0.2137
any_vs_none,5,kincaid,-0.1762
any_vs_none,5,embedding_cluster_size,-0.1374
any_vs_none,5,complexity_reasoning,0.1344
any_vs_none,5,complexity_description,0.2192
any_vs_none,5,complexity_readability,-0.2637
any_vs_none,5,reasoning_clarity,-0.1956
any_vs_none,5,structure_actionability,-0.1991
any_vs_none,5,readability_combo,-0.2235
any_vs_none,5,ambiguity_reasoning,0.1874
all_vs_notall,5,reasoning_composite,0.4426
all_vs_notall,5,actionability,0.4374
all_vs_notall,5,txt_description_line_count,0.4826
all_vs_notall,5,txt_title_digit_density,0.4866
all_vs_notall,5,txt_title_avg_sentence_len,0.4763
all_vs_notall,5,clarity,0.4052
all_vs_notall,5,expected_observed_alignment,0.3879
all_vs_notall,5,technical_completeness,0.355
all_vs_notall,5,embedding_cluster_distance,0.2892
all_vs_notall,5,description_length,0.3177
all_vs_notall,5,num_versions,0.2991
all_vs_notall,5,repair_difficulty,-0.4993
all_vs_notall,5,coleman_liau,-0.445
all_vs_notall,5,ari,-0.4405
all_vs_notall,5,ambiguity_type_count,-0.3601
all_vs_notall,5,flesch,0.4283
all_vs_notall,5,kincaid,-0.3831
all_vs_notall,5,embedding_cluster_size,-0.3145
all_vs_notall,5,complexity_reasoning,0.1092
all_vs_notall,5,complexity_description,0.0983
all_vs_notall,5,complexity_readability,-0.469
all_vs_notall,5,reasoning_clarity,-0.18
all_vs_notall,5,structure_actionability,-0.1052
all_vs_notall,5,readability_combo,-0.4442
all_vs_notall,5,ambiguity_reasoning,0.1598
